Date,Open,High,Low,Close,Adj Close,Volume
1994-07-08,3.234375,3.28125,3.21875,3.25,2.38712215423584,237600
1994-07-11,3.1875,3.296875,3.1875,3.28125,2.4100756645202637,449600
1994-07-12,3.28125,3.28125,3.234375,3.25,2.38712215423584,126400
1994-07-13,3.28125,3.3125,3.265625,3.28125,2.4100756645202637,235200
1994-07-14,3.328125,3.515625,3.328125,3.515625,2.582223415374756,584000
1994-07-15,3.5,3.5,3.390625,3.40625,2.501887321472168,92000
1994-07-18,3.375,3.4375,3.34375,3.34375,2.455980062484741,52000
1994-07-19,3.375,3.4375,3.375,3.4375,2.5248401165008545,109600
1994-07-20,3.46875,3.5625,3.46875,3.484375,2.559270143508911,541600
1994-07-21,3.5,3.53125,3.5,3.53125,2.593700408935547,488000
1994-07-22,3.5625,3.59375,3.5625,3.59375,2.63960599899292,332000
1994-07-25,3.59375,3.625,3.5625,3.5625,2.6166534423828125,105600
1994-07-26,3.546875,3.59375,3.515625,3.59375,2.6535730361938477,19200
1994-07-27,3.59375,3.59375,3.59375,3.59375,2.6535730361938477,2400
1994-07-28,3.625,3.625,3.625,3.625,2.676647186279297,2400
1994-07-29,3.59375,3.609375,3.59375,3.609375,2.665109872817993,208000
1994-08-01,3.578125,3.578125,3.53125,3.53125,2.6074230670928955,25600
1994-08-02,3.5625,3.640625,3.5625,3.609375,2.665109872817993,128800
1994-08-03,3.59375,3.625,3.59375,3.625,2.676647186279297,85600
1994-08-04,3.59375,3.59375,3.53125,3.53125,2.6074230670928955,57600
1994-08-05,3.5,3.5,3.453125,3.46875,2.561275005340576,109600
1994-08-08,3.453125,3.453125,3.265625,3.28125,2.4228267669677734,94400
1994-08-09,3.25,3.28125,3.1875,3.25,2.3997533321380615,302400
1994-08-10,3.25,3.28125,3.234375,3.28125,2.4228267669677734,200800
1994-08-11,3.28125,3.296875,3.25,3.25,2.3997533321380615,152000
1994-08-12,3.28125,3.5,3.28125,3.46875,2.561275005340576,242400
1994-08-15,3.515625,3.59375,3.390625,3.390625,2.5035879611968994,364000
1994-08-16,3.421875,3.5,3.40625,3.46875,2.561275005340576,213600
1994-08-17,3.5,3.5,3.390625,3.390625,2.5035879611968994,108000
1994-08-18,3.375,3.40625,3.375,3.40625,2.5151243209838867,351200
1994-08-19,3.4375,3.4375,3.390625,3.390625,2.5035879611968994,36800
1994-08-22,3.421875,3.421875,3.375,3.40625,2.5151243209838867,26400
1994-08-23,3.375,3.390625,3.375,3.390625,2.5035879611968994,1600
1994-08-24,3.359375,3.359375,3.296875,3.296875,2.434363842010498,28800
1994-08-25,3.265625,3.265625,3.203125,3.203125,2.365140914916992,76800
1994-08-26,3.25,3.25,3.203125,3.234375,2.388216257095337,222400
1994-08-29,3.203125,3.3125,3.203125,3.28125,2.4228267669677734,388800
1994-08-30,3.28125,3.328125,3.28125,3.328125,2.4574384689331055,105600
1994-08-31,3.3125,3.328125,3.3125,3.328125,2.4574384689331055,344000
1994-09-01,3.3125,3.3125,3.296875,3.3125,2.4459009170532227,116000
1994-09-02,3.34375,3.34375,3.296875,3.296875,2.434363842010498,15200
1994-09-06,3.296875,3.328125,3.265625,3.265625,2.4112892150878906,25600
1994-09-07,3.296875,3.296875,3.21875,3.234375,2.388216257095337,94400
1994-09-08,3.21875,3.21875,3.1875,3.1875,2.3536036014556885,32000
1994-09-09,3.15625,3.15625,3.140625,3.15625,2.3305294513702393,20000
1994-09-12,3.15625,3.15625,3.015625,3.046875,2.2497687339782715,149600
1994-09-13,3.0625,3.078125,3.046875,3.078125,2.2728431224823,32000
1994-09-14,3.09375,3.125,3.09375,3.109375,2.295916795730591,59200
1994-09-15,3.109375,3.125,3.078125,3.125,2.307454824447632,44000
1994-09-16,3.15625,3.21875,3.15625,3.21875,2.376677989959717,64000
1994-09-19,3.21875,3.28125,3.1875,3.265625,2.4112892150878906,112000
1994-09-20,3.265625,3.265625,3.171875,3.1875,2.3536036014556885,76800
1994-09-21,3.15625,3.25,3.125,3.25,2.3997533321380615,56000
1994-09-22,3.28125,3.328125,3.28125,3.3125,2.4459009170532227,79200
1994-09-23,3.265625,3.28125,3.234375,3.25,2.3997533321380615,44000
1994-09-26,3.21875,3.21875,3.15625,3.171875,2.3420650959014893,31200
1994-09-27,3.1875,3.1875,3.15625,3.171875,2.3420650959014893,14400
1994-09-28,3.203125,3.203125,3.1875,3.1875,2.3536036014556885,53600
1994-09-29,3.171875,3.203125,3.171875,3.203125,2.365140914916992,368800
1994-09-30,3.171875,3.1875,3.171875,3.171875,2.3420650959014893,108800
1994-10-03,3.1875,3.1875,3.140625,3.140625,2.31899094581604,58400
1994-10-04,3.140625,3.140625,3.015625,3.03125,2.238229990005493,75200
1994-10-05,2.96875,2.96875,2.890625,2.890625,2.134394884109497,135200
1994-10-06,2.875,2.890625,2.875,2.890625,2.134394884109497,158400
1994-10-07,2.859375,2.859375,2.796875,2.84375,2.0997838973999023,9301600
1994-10-10,2.84375,2.90625,2.84375,2.875,2.122857093811035,2268800
1994-10-11,2.890625,2.9375,2.875,2.875,2.122857093811035,1553600
1994-10-12,2.90625,2.90625,2.875,2.875,2.122857093811035,947200
1994-10-13,2.875,2.890625,2.84375,2.84375,2.0997838973999023,1373600
1994-10-14,2.84375,2.859375,2.8125,2.84375,2.0997838973999023,1117600
1994-10-17,2.828125,2.859375,2.828125,2.828125,2.088245391845703,947200
1994-10-18,2.84375,2.84375,2.828125,2.828125,2.088245391845703,824800
1994-10-19,2.828125,2.84375,2.78125,2.828125,2.088245391845703,925600
1994-10-20,2.8125,2.84375,2.796875,2.828125,2.088245391845703,391200
1994-10-21,2.84375,2.859375,2.828125,2.84375,2.0997838973999023,469600
1994-10-24,2.828125,2.859375,2.828125,2.84375,2.0997838973999023,363200
1994-10-25,2.828125,2.859375,2.8125,2.84375,2.0997838973999023,553600
1994-10-26,2.8125,2.84375,2.8125,2.828125,2.1021041870117188,89600
1994-10-27,2.828125,2.859375,2.828125,2.859375,2.1253340244293213,137600
1994-10-28,2.875,2.90625,2.859375,2.875,2.136946439743042,409600
1994-10-31,2.875,2.875,2.8125,2.8125,2.0904924869537354,856800
1994-11-01,2.78125,2.828125,2.75,2.828125,2.1021041870117188,164800
1994-11-02,2.828125,2.84375,2.78125,2.84375,2.113719940185547,154400
1994-11-03,2.9375,2.9375,2.875,2.90625,2.160175323486328,1112000
1994-11-04,2.9375,3.046875,2.9375,3.03125,2.2530858516693115,1491200
1994-11-07,3.03125,3.078125,3.03125,3.0625,2.276312828063965,1256000
1994-11-08,3.0625,3.0625,2.9375,2.96875,2.2066314220428467,800000
1994-11-09,3.0,3.015625,2.984375,3.0,2.229858875274658,745600
1994-11-10,3.015625,3.03125,2.984375,3.0,2.229858875274658,270400
